,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
371,371,talk ethcc te academi,for her talk in ethcc on the TE academy,8.67,akrtws (TE Academy)#4246,2021-07-21T22:00:00.000Z,
374,374,come tec commun call http youtu tfikvrgwa,for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0,3.33,mheuer#9922,2021-07-30T22:00:00.000Z,
381,381,come tec commun call http youtu tfikvrgwa,for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0,4.0,liviade#1387,2021-07-30T22:00:00.000Z,
383,383,come tec commun call http youtu tfikvrgwa,for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0,3.33,divine_comedian#5493,2021-07-30T22:00:00.000Z,
385,385,come tec commun call http youtu tfikvrgwa,for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0,3.33,AmwFund#0979,2021-07-30T22:00:00.000Z,
386,386,come tec commun call http youtu tfikvrgwa,for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0,3.33,OddName#8763,2021-07-30T22:00:00.000Z,
387,387,drop prais audit record drop video clean 😄,"for dropping into the Praise Audit, recording it and dropping the video here all cleaned up! 😄",4.67,metaverde#2503,2021-07-14T22:00:00.000Z,
388,388,come tec commun call http youtu tfikvrgwa,for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0,3.33,patriacaelum#3496,2021-07-30T22:00:00.000Z,
389,389,come tec commun call http youtu tfikvrgwa,for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0,3.33,xm3van#0929,2021-07-30T22:00:00.000Z,
391,391,come tec commun call http youtu tfikvrgwa,for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0,4.67,BK#7471,2021-07-30T22:00:00.000Z,
395,395,come tec commun call http youtu tfikvrgwa,for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0,3.33,Letty#5399,2021-07-30T22:00:00.000Z,
396,396,come tec commun call http youtu tfikvrgwa,for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0,4.0,durgadas#9280,2021-07-30T22:00:00.000Z,
397,397,help guidanc chuy,for all of his help and guidance for Chuy,4.67,Zeptimus#3359,2021-07-30T22:00:00.000Z,
403,403,look tec fam keep everybodi healthi,for looking after the TEC fam and keeping everybody healthy,4.0,Suga#8514,2021-07-30T22:00:00.000Z,
407,407,also inspir mullet,for also inspiring a mullet,3.33,divine_comedian#5493,2021-07-30T22:00:00.000Z,
409,409,juan’ amaz roommat,for being Juan’s amazing roommates,4.0,Zeptimus#3359,2021-07-30T22:00:00.000Z,
410,410,soft gov sync today ,for being in the soft gov sync today!,4.0,durgadas#9280,2021-07-26T22:00:00.000Z,
411,411,come tec commun call http youtu tfikvrgwa,for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0,4.0,acidlazzer#5796,2021-07-30T22:00:00.000Z,
412,412,amaz coordin ethcc,for the amazing coordination for the EthCC,3.67,jukren#8803,2021-07-30T22:00:00.000Z,
415,415,hold onboard fort suga pari,for holding down the [onboarding] fort while Suga was in Paris,11.33,Mount Manu#3530,2021-07-30T22:00:00.000Z,
416,416,help run back offic support contribut tec,for helping to run the back office and all their support and contributions to TEC,5.33,DanKnobelsdorf#0326,2021-07-15T22:00:00.000Z,
419,419,hero final detail need us hatch,for being the heroes in finalizing all the details needed for us to hatch,9.67,eduardovegap#0422,2021-07-15T22:00:00.000Z,
421,421,generos energi,for his generosity and his energy,11.33,"griff (💜, 💜)#8888",2021-07-30T22:00:00.000Z,
422,422,alway quick respons stay top chao,for always being quick and responsive and staying on top of all the chaos,3.67,jukren#8803,2021-07-30T22:00:00.000Z,
424,424,spin collabor michael,for spinning the collaboration with Michael,6.33,Mount Manu#3530,2021-07-28T22:00:00.000Z,
425,425,onboard session mount manu ad definit common,for the onboarding session and @Mount Manu for adding up on the definition of commons,7.27,Mount Manu#3530,2021-07-13T22:00:00.000Z,
426,426,huge help fast answer trust seed topic ,for his huge help and fast answers on the Trusted Seed topic!,3.67,DanKnobelsdorf#0326,2021-07-13T22:00:00.000Z,
427,427,dive prais audit support  hour close call,for diving into the Praise audit and supporting during our 3 hour closing call,5.33,Zeptimus#3359,2021-07-12T22:00:00.000Z,
